Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen01_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen03_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen04_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen05_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen06_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen07_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen10_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen12_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen14_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen15_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen16_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen17_06102014_R1
EC:1.13.11.5	1136	1619	1640	1550	1111	1368	372	346	521	548	790	1473
EC:1.13.11.52	126	228	195	228	170	192	32	35	49	47	92	172
EC:1.13.11.53	104	190	162	154	129	124	33	46	42	52	88	169
EC:1.13.11.55	0	0	0	0	0	0	0	0	0	1	2	0
EC:1.13.11.56	1	3	4	4	0	1	0	0	1	0	0	5
EC:1.13.11.57	59	140	135	154	164	134	38	38	40	34	48	107
EC:1.13.11.6	156	222	218	206	158	237	53	57	88	85	129	265
EC:1.13.11.61	1	9	5	1	3	12	0	2	9	2	6	8
EC:1.13.11.66	1	6	0	0	2	4	1	0	1	0	2	1
EC:1.13.11.73	4	2	7	0	0	4	0	1	0	2	7	5
EC:1.13.11.74	26	12	29	15	23	27	9	15	13	8	18	26
EC:1.13.11.75	70	123	126	107	77	81	19	20	34	35	52	167
EC:1.13.11.8	388	565	597	563	459	502	199	118	197	252	311	531
EC:1.13.11.9	114	260	289	226	151	264	85	57	84	88	165	192
EC:1.13.12.-	109	92	116	112	52	78	30	26	23	33	46	72
EC:1.13.12.16	2420	3244	3521	3093	2311	2608	798	588	1031	1086	1634	3029
EC:1.13.12.3	69	51	62	47	41	57	32	8	18	34	26	61
EC:1.13.12.4	155	174	168	146	143	129	82	38	60	63	64	176
EC:1.13.99.1	249	299	344	295	190	262	75	39	68	69	102	307
EC:1.14.-	735	1237	1274	1092	792	934	195	206	330	408	499	1345
EC:1.14.11.-	1276	2206	1913	1662	1493	1636	484	284	489	623	897	1719
EC:1.14.11.1	235	348	327	297	257	233	64	37	55	75	105	200
EC:1.14.11.13	1	0	2	2	0	0	1	0	0	0	0	0
EC:1.14.11.16	40	47	56	58	37	52	3	13	14	8	24	18
EC:1.14.11.17	1952	4470	3842	3097	2816	3123	611	416	645	780	1874	2891
EC:1.14.11.18	140	211	196	186	117	153	29	22	34	60	84	189
EC:1.14.11.2	145	301	270	208	207	216	67	51	85	97	112	315
EC:1.14.11.21	4	12	4	4	1	1	0	0	0	0	1	3
EC:1.14.11.26	0	0	1	0	0	0	0	0	0	0	0	0
EC:1.14.11.30	5	8	4	10	3	8	0	2	1	3	3	7
EC:1.14.11.33	291	466	424	382	307	380	97	63	102	121	178	403
EC:1.14.11.35	3	10	12	14	5	10	0	0	3	2	9	8
EC:1.14.11.36	0	10	1	4	4	6	1	1	2	1	2	3
EC:1.14.11.39	69	44	34	40	24	18	9	12	14	11	29	31
EC:1.14.11.8	6	14	7	13	7	4	1	0	0	2	8	10
EC:1.14.12.-	519	767	678	669	416	575	198	136	225	250	414	610
EC:1.14.12.1	318	462	497	442	255	422	106	65	81	122	205	281
EC:1.14.12.11	5	6	6	5	2	7	3	1	2	5	8	9
EC:1.14.12.12	1	7	5	2	2	3	2	2	0	2	1	2
EC:1.14.12.13	37	67	95	74	41	68	18	22	24	27	33	42
